ID;PE1;PE2;PE3;PE4;EE1;EE2;EE3;SI1;SI2;SI3;SI4;FC1;FC2;FC3;HM1;HM2;HM3;HA1;HA2;HA3;HA4;HA5;IU1;IU2;U1;U2;U3;U4;TRI1;TRI2;TRI3;TRI4;TRI5;TRI6;TRI7;TRI8;TRI9;TRI10;TRI11;TRI12;TRI13;TRI14;TRI15;TRI16;EXP;EDU;SOC;WSTATUS;RETIRED;GENDER;BORN;GENERATION;REGION
111;3;4;5;4;3;3;3;3;4;4;4;5;4;5;3;4;4;4;3;3;4;4;5;5;5;3;3;4;3;4;3;3;4;2;2;2;2;4;4;4;4;4;5;2;11;3;2;Y;Y;Female;1957;Late Baby boomer ;Biobío
112;3;4;5;4;4;5;5;5;4;4;4;4;4;3;3;4;3;3;4;4;2;4;4;5;4;5;4;3;4;4;2;4;3;2;2;4;4;3;4;4;2;3;2;2;7;3;4;Y;Y;Female;1961;Late Baby boomer ;Coquimbo
113;4;4;5;4;3;4;4;4;4;4;4;3;4;4;5;5;5;4;3;4;3;3;4;4;5;4;3;1;4;4;4;4;3;3;3;4;5;4;3;3;4;4;5;5;10;3;3;Y;N;Male;1959;Late Baby boomer ;Biobío
114;4;4;4;4;3;4;4;4;4;4;4;4;2;4;4;4;4;2;2;2;2;2;4;3;3;3;3;3;4;4;4;3;2;2;2;2;3;4;2;2;4;4;4;4;5;3;3;N;N;Female;1961;Late Baby boomer ;Biobío
115;5;5;5;5;4;5;5;5;5;5;5;4;4;5;4;5;4;4;4;4;5;4;4;4;3;3;4;3;4;4;4;4;3;3;2;3;4;3;3;4;4;2;2;4;15;3;2;Y;Y;Male;1954;Early Baby boomer ;Biobío
116;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;2;4;4;2;2;2;2;5;4;3;4;4;1;2;4;4;4;2;2;3;3;4;4;4;4;5;5;5;2;15;4;3;Y;Y;Male;1931;Silent generation ;Biobío
117;2;4;4;4;1;1;1;4;4;4;1;4;1;4;3;3;3;2;2;2;2;2;3;2;2;2;2;2;4;4;4;2;2;2;2;2;4;4;4;4;4;4;4;4;3;4;3;N;Y;Male;1929;Silent generation ;Biobío
118;5;4;5;5;5;5;1;2;1;4;4;4;4;4;4;4;5;4;2;3;2;4;4;4;1;5;5;4;5;5;5;5;3;2;2;2;2;5;5;5;5;5;5;5;8;4;2;N;Y;Male;1939;Silent generation ;Biobío
119;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;5;5;4;4;4;4;4;4;5;4;5;5;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;17;4;3;N;Y;Female;1960;Late Baby boomer ;Biobío
120;4;4;5;5;4;5;5;3;3;4;3;5;4;4;5;5;5;5;5;5;5;5;5;5;4;3;4;2;4;4;5;4;3;2;2;3;3;1;2;2;2;2;5;5;10;4;3;Y;N;Male;1960;Late Baby boomer ;Biobío
121;4;4;4;4;3;2;2;4;4;3;2;4;4;4;4;4;4;3;3;4;2;2;4;4;3;5;3;2;4;4;3;3;4;3;4;4;2;4;4;4;4;2;2;2;7;4;3;N;Y;Male;1950;Early Baby boomer ;Biobío
122;3;4;5;5;4;4;3;3;4;4;4;4;3;5;4;5;5;4;4;5;3;5;5;5;5;3;3;1;5;5;5;5;2;2;3;5;2;2;3;3;5;5;5;2;10;4;3;N;Y;Male;1951;Early Baby boomer ;Biobío
123;3;5;5;5;4;3;3;2;3;3;2;3;3;5;4;4;5;3;3;3;2;2;5;5;5;3;3;1;5;5;5;5;2;2;2;5;2;2;3;3;5;5;5;2;10;4;3;Y;N;Female;1959;Late Baby boomer ;Biobío
124;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;4;3;3;5;5;5;4;4;1;13;4;3;Y;N;Female;1959;Late Baby boomer ;Biobío
125;3;4;3;4;5;4;4;4;3;3;2;4;4;4;4;4;4;4;4;4;2;4;4;4;5;5;4;3;4;4;4;4;4;4;4;4;1;1;2;3;2;2;2;2;11;4;4;Y;N;Female;1955;Early Baby boomer ;Biobío
126;4;4;4;4;4;3;2;5;5;5;5;5;3;4;4;4;4;4;3;3;3;4;5;5;4;3;3;1;4;4;4;4;2;1;1;2;4;4;4;4;5;4;4;4;8;3;2;N;N;Female;1953;Early Baby boomer ;Biobío
127;5;5;5;5;5;3;3;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;4;2;2;4;3;4;4;4;5;4;4;3;10;4;2;N;Y;Male;1949;Early Baby boomer ;Biobío
128;2;2;4;3;3;4;4;4;4;4;2;4;4;5;2;2;2;2;2;4;2;2;4;3;1;3;1;3;4;4;2;2;3;2;2;4;2;3;4;2;3;4;2;3;8;4;2;N;Y;Female;1952;Early Baby boomer ;Coquimbo
129;4;2;4;4;2;1;2;3;3;3;3;4;4;4;4;4;3;3;2;2;2;2;4;4;2;3;3;2;3;3;4;3;2;2;1;2;4;4;4;5;5;5;5;5;6;4;3;N;Y;Female;1944;Silent generation ;Biobío
130;5;5;5;5;5;5;4;5;5;5;5;4;4;5;5;5;5;4;4;4;4;4;5;5;5;5;4;4;5;5;5;5;4;4;4;4;3;4;4;5;3;4;3;1;10;4;3;Y;N;Female;1961;Late Baby boomer ;Coquimbo
131;5;5;5;5;2;2;2;5;5;5;5;2;2;5;3;3;3;2;2;2;2;4;5;5;5;4;4;2;4;3;2;4;2;2;1;1;5;5;5;5;4;4;4;4;8;4;3;N;Y;Female;1938;Silent generation ;Coquimbo
132;2;3;4;4;1;1;1;4;4;5;3;5;2;4;3;3;3;4;4;3;3;4;5;3;4;3;3;2;2;4;2;4;2;1;1;1;4;4;5;5;5;5;5;5;7;4;4;Y;N;Female;1961;Late Baby boomer ;Biobío
133;4;5;5;5;4;4;4;4;5;5;3;4;4;5;5;5;5;4;4;4;3;4;5;5;5;3;3;1;4;4;4;5;3;3;4;4;4;3;3;3;4;5;5;3;10;4;3;Y;N;Female;1961;Late Baby boomer ;Biobío
134;4;4;4;5;5;5;5;3;3;3;3;4;5;4;5;4;5;4;5;3;3;4;4;3;4;3;3;4;3;3;1;2;2;2;2;3;3;3;2;2;4;5;3;1;3;2;2;Y;N;Male;1960;Late Baby boomer ;Biobío
135;4;4;4;4;2;2;2;4;4;4;4;3;2;4;4;3;3;2;2;2;2;2;4;4;3;3;3;1;4;4;4;3;1;1;1;2;4;4;4;4;4;4;4;5;6;3;2;N;Y;Female;1953;Early Baby boomer ;Biobío
136;4;4;4;4;3;3;3;5;5;5;5;5;3;4;4;4;4;3;3;3;3;3;4;4;3;3;3;1;4;4;4;4;2;2;2;3;4;4;4;4;4;4;4;5;10;2;2;N;Y;Female;1955;Early Baby boomer ;Biobío
137;3;4;4;3;1;2;2;3;3;3;3;2;3;4;4;4;4;2;2;2;2;2;4;3;5;3;1;1;4;2;3;3;1;1;1;2;4;5;4;4;5;4;5;5;8;3;3;N;Y;Female;1944;Silent generation ;Biobío
138;4;4;5;5;4;4;4;5;5;5;4;4;4;5;4;4;4;4;4;4;4;4;5;5;5;5;3;2;4;4;4;4;3;3;4;4;3;3;3;3;4;4;4;5;12;4;4;Y;N;Female;1958;Late Baby boomer ;Biobío
139;4;5;5;5;4;4;4;5;5;5;3;4;4;4;5;5;5;4;2;4;2;3;4;4;2;5;3;3;4;4;4;3;3;4;2;4;3;2;2;4;3;3;2;2;11;4;4;N;Y;Male;1946;Silent generation ;Biobío
140;3;4;4;4;4;4;4;3;3;3;3;4;4;4;3;3;3;3;3;3;2;2;4;3;3;4;3;2;3;3;3;3;4;3;4;3;2;3;4;3;4;4;3;2;12;4;4;N;Y;Female;1960;Late Baby boomer ;Biobío
141;4;2;4;4;3;3;3;4;4;4;4;3;4;4;4;4;4;3;3;3;3;2;4;4;4;5;1;1;4;3;4;4;3;2;3;4;4;3;2;3;4;5;5;4;10;3;3;N;Y;Male;1946;Silent generation ;Biobío
142;5;5;5;5;4;4;4;5;5;5;5;4;4;5;5;5;5;4;4;4;4;4;5;4;5;5;4;5;5;5;5;5;4;4;4;5;2;3;3;4;3;3;2;2;11;4;4;Y;N;Male;1944;Silent generation ;Coquimbo
143;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;4;2;5;4;3;3;4;4;5;5;3;3;12;4;3;N;Y;Female;1954;Early Baby boomer ;Biobío
144;5;5;5;5;3;3;3;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;2;2;2;3;4;4;4;4;4;4;4;4;5;4;3;N;Y;Female;1941;Silent generation ;Biobío
145;4;4;4;4;2;2;2;5;5;5;5;2;2;4;4;4;4;4;3;2;2;3;4;3;5;3;4;1;4;4;4;3;1;1;1;1;5;5;5;5;3;4;4;4;6;1;1;Y;N;Male;1945;Silent generation ;Coquimbo
146;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;4;3;5;5;2;2;2;2;5;4;4;2;14;4;3;N;Y;Male;1961;Late Baby boomer ;Biobío
147;4;4;4;4;5;5;5;3;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;2;3;3;2;3;4;3;4;4;3;3;4;2;4;4;4;4;4;4;4;15;4;3;Y;Y;Female;1959;Late Baby boomer ;Coquimbo
148;5;5;5;5;4;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;2;4;4;3;2;2;3;5;5;3;2;12;3;4;N;N;Female;1951;Early Baby boomer ;Biobío
149;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;4;4;4;3;5;5;5;5;4;2;4;4;4;5;4;4;4;4;2;2;2;2;3;4;5;2;12;4;3;Y;N;Male;1961;Late Baby boomer ;Biobío
150;5;5;5;5;4;3;3;5;5;5;5;4;4;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;4;4;3;2;4;4;2;2;2;2;12;4;3;Y;N;Female;1955;Early Baby boomer ;Coquimbo
151;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;2;4;4;2;2;2;2;4;4;2;2;14;4;3;Y;N;Female;1959;Late Baby boomer ;Biobío
152;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;1;5;5;2;2;2;2;5;4;2;1;12;4;3;Y;N;Male;1957;Late Baby boomer ;Biobío
153;1;4;4;4;4;4;4;3;4;1;4;2;3;3;3;4;3;3;1;1;1;1;4;3;2;2;1;1;4;3;3;3;1;1;1;1;5;4;3;4;4;4;4;4;1;3;3;Y;Y;Male;1955;Early Baby boomer ;Biobío
154;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;4;1;4;5;5;5;1;1;1;2;2;1;5;5;1;5;4;1;17;4;3;N;Y;Female;1955;Early Baby boomer ;Coquimbo
155;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;5;4;5;5;3;3;4;3;4;4;3;3;4;3;3;3;2;3;4;4;4;2;12;4;3;Y;Y;Female;1960;Late Baby boomer ;Biobío
156;4;4;4;4;2;2;2;3;3;3;3;4;4;4;4;4;4;4;2;3;1;2;4;4;4;5;4;1;3;3;3;2;3;3;2;3;3;4;4;4;4;3;4;4;11;4;3;Y;N;Male;1958;Late Baby boomer ;Biobío
157;3;4;4;4;2;2;2;4;4;4;4;3;2;4;3;3;3;2;2;2;2;2;4;4;3;3;3;1;4;4;4;3;1;1;1;2;4;4;4;4;4;4;4;4;6;3;3;N;N;Female;1948;Early Baby boomer ;Biobío
158;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;5;5;4;5;5;5;5;5;3;5;5;2;2;3;3;4;3;4;2;8;4;3;N;Y;Male;1947;Early Baby boomer ;Biobío
159;4;4;4;4;3;3;3;4;4;4;4;3;3;4;4;4;3;2;2;2;2;2;4;4;4;4;2;1;4;3;4;4;2;2;3;2;3;4;3;3;4;5;5;4;9;3;4;N;Y;Male;1946;Silent generation ;Biobío
160;4;4;5;5;4;4;4;4;4;4;4;3;4;4;5;5;5;4;3;4;3;4;5;4;5;5;4;1;4;3;4;4;3;3;3;3;3;4;4;4;3;5;4;3;10;4;4;N;Y;Female;1946;Silent generation ;Biobío
161;2;4;4;4;4;4;4;3;3;3;3;4;4;4;2;3;2;4;4;3;3;3;4;2;3;3;4;3;4;4;3;4;2;2;3;3;4;3;3;2;4;4;4;4;3;4;4;Y;N;Male;1957;Late Baby boomer ;Coquimbo
162;5;5;5;5;3;4;3;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;2;5;5;3;3;3;3;5;2;2;2;8;4;3;N;Y;Female;1945;Silent generation ;Biobío
163;5;5;5;4;5;5;5;4;4;4;4;5;4;4;5;5;5;5;4;4;4;4;5;5;5;5;3;2;5;4;4;5;3;3;4;4;2;3;2;3;4;4;5;3;10;4;3;Y;Y;Female;1956;Early Baby boomer ;Biobío
164;4;4;5;5;3;3;3;4;4;4;4;4;4;4;5;4;4;4;3;3;3;3;5;5;4;5;1;1;4;3;5;4;2;3;3;3;4;4;4;4;5;5;5;5;10;3;3;N;Y;Female;1947;Early Baby boomer ;Biobío
165;5;5;5;5;4;4;4;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;4;3;3;3;4;4;5;5;5;3;12;4;3;N;Y;Female;1951;Early Baby boomer ;Biobío
166;5;5;5;5;4;4;4;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;4;2;4;5;2;2;2;3;5;3;3;3;10;4;3;N;Y;Male;1950;Early Baby boomer ;Biobío
167;3;3;4;4;5;4;5;4;4;4;3;4;4;4;3;4;2;4;4;5;5;4;4;4;3;3;1;4;4;4;4;4;4;2;4;4;4;2;2;4;4;5;5;1;13;3;3;Y;N;Female;1960;Late Baby boomer ;Coquimbo
168;4;4;5;5;4;4;4;5;5;5;5;5;4;5;4;4;4;3;3;4;3;3;5;4;5;4;3;4;5;4;4;4;3;4;4;4;3;3;4;4;4;5;5;3;10;4;3;Y;N;Male;1959;Late Baby boomer ;Biobío
169;4;5;5;5;4;4;4;5;5;4;5;5;4;5;4;4;4;4;4;4;4;4;4;4;4;3;4;5;4;5;5;4;1;4;4;4;3;2;2;2;2;3;3;2;12;3;3;Y;Y;Male;1950;Early Baby boomer ;Coquimbo
170;5;5;5;5;2;2;2;5;5;5;5;2;2;5;3;3;3;2;2;2;2;3;4;4;4;3;3;1;4;3;3;3;1;1;1;1;4;4;4;5;4;4;4;4;6;1;1;Y;N;Female;1950;Early Baby boomer ;Coquimbo
171;4;4;4;4;4;4;4;4;4;4;1;4;2;4;4;4;4;4;3;4;4;2;4;2;2;4;4;4;2;4;2;4;2;2;4;4;4;4;4;4;4;4;4;4;11;4;3;N;Y;Male;1955;Early Baby boomer ;Biobío
172;4;4;4;4;4;4;4;5;5;5;5;5;4;4;4;4;5;3;2;4;2;2;4;4;4;3;2;3;4;4;4;4;4;4;4;4;2;2;2;2;4;4;5;4;11;3;3;Y;N;Male;1958;Late Baby boomer ;Biobío
173;4;5;5;5;4;4;4;4;4;4;4;3;4;5;4;4;4;4;3;4;3;3;5;5;5;4;3;2;4;3;4;5;3;2;3;2;2;3;3;3;5;5;5;4;12;3;3;N;Y;Female;1951;Early Baby boomer ;Biobío
174;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;3;4;3;3;5;5;5;5;4;4;5;4;5;5;4;5;4;4;2;3;3;3;5;4;4;3;13;4;4;Y;N;Male;1956;Early Baby boomer ;Biobío
175;5;5;5;5;3;2;3;4;4;4;1;4;2;4;4;4;4;2;2;2;2;2;5;4;3;4;4;1;2;4;4;2;2;2;2;4;4;4;4;4;4;4;4;5;6;4;3;Y;Y;Female;1941;Silent generation ;Biobío
176;3;3;2;2;4;4;4;4;4;4;4;4;5;4;3;3;2;4;2;3;2;4;3;3;3;5;5;4;4;4;3;3;2;2;2;2;4;4;2;4;4;4;5;5;8;4;2;N;Y;Female;1946;Silent generation ;Biobío
177;4;4;4;4;3;3;3;4;4;4;1;4;3;4;4;4;4;3;3;3;2;2;4;2;4;4;3;3;4;4;4;3;2;2;3;4;4;4;4;4;5;5;5;5;10;4;3;Y;N;Female;1958;Late Baby boomer ;Biobío
178;4;4;5;3;4;4;5;5;4;2;4;4;4;4;2;4;3;5;2;4;2;3;4;4;3;3;3;1;4;4;2;4;4;2;4;4;4;3;4;4;4;4;4;4;7;3;3;Y;N;Male;1961;Late Baby boomer ;Coquimbo
179;4;5;5;5;4;4;4;5;5;5;5;4;4;5;5;5;5;3;3;4;3;3;5;5;4;5;5;3;4;3;4;5;4;4;4;3;2;2;2;2;5;5;5;4;12;3;3;Y;N;Male;1957;Late Baby boomer ;Biobío
180;5;5;5;5;4;4;4;4;4;4;4;4;5;5;5;5;5;4;4;4;4;3;5;5;4;5;3;3;4;4;5;5;3;3;3;3;2;3;3;3;5;4;5;4;12;3;3;Y;N;Female;1960;Late Baby boomer ;Biobío
181;5;5;5;5;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;3;5;4;5;5;5;4;3;2;5;5;5;5;3;3;4;3;3;4;4;4;5;4;5;2;10;3;3;Y;N;Female;1959;Late Baby boomer ;Biobío
182;4;5;5;4;5;5;5;4;4;4;4;5;5;5;5;5;5;4;3;4;3;3;5;4;4;5;3;2;5;4;5;5;5;4;4;4;2;3;3;3;5;5;5;2;12;3;3;Y;N;Male;1958;Late Baby boomer ;Biobío
183;5;5;5;5;2;2;2;5;5;5;5;2;2;4;3;4;4;2;2;2;2;2;5;5;4;3;3;1;4;4;4;3;1;1;1;1;5;5;5;5;3;4;4;4;4;3;3;N;Y;Female;1934;Silent generation ;Coquimbo
184;4;4;5;5;4;4;4;5;5;5;5;4;4;5;5;5;5;3;3;3;3;3;5;4;4;5;2;2;4;3;4;4;3;3;4;4;3;3;3;3;4;4;4;3;10;4;4;N;Y;Male;1955;Early Baby boomer ;Biobío
185;4;4;5;4;3;3;3;4;4;4;4;4;4;5;4;4;4;1;1;3;1;1;4;4;5;4;2;1;4;3;4;4;2;2;2;2;4;4;4;4;5;5;5;4;8;4;3;N;Y;Female;1951;Early Baby boomer ;Biobío
186;3;3;4;4;4;2;2;4;4;4;3;4;3;4;4;4;4;5;2;3;3;3;5;3;4;4;4;1;4;4;4;4;3;3;3;3;4;4;4;4;3;4;4;5;10;3;3;N;Y;Female;1943;Silent generation ;Coquimbo
187;4;4;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;1;1;4;4;3;4;3;3;2;3;4;4;4;4;3;4;4;4;8;3;3;Y;Y;Female;1953;Early Baby boomer ;Coquimbo
188;2;5;4;5;5;5;5;4;4;3;3;4;5;5;3;3;3;2;2;2;2;2;4;4;3;3;2;4;3;3;3;3;2;1;4;4;4;4;4;4;4;4;5;4;8;4;4;N;Y;Male;1958;Late Baby boomer ;Coquimbo
189;5;5;5;5;4;5;4;5;5;5;5;4;4;5;4;4;4;4;4;3;4;4;5;5;5;5;5;4;5;5;4;5;4;4;4;4;4;4;4;4;3;2;3;2;8;4;3;Y;Y;Female;1946;Silent generation ;Coquimbo
190;4;4;4;4;2;2;2;4;4;4;4;3;2;4;3;3;3;2;2;2;2;2;4;4;2;3;3;1;4;4;4;3;1;1;1;2;4;4;5;4;4;4;3;5;5;4;3;N;Y;Female;1952;Early Baby boomer ;Biobío
191;4;4;4;4;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;2;4;4;3;5;4;3;3;3;4;4;4;4;3;4;4;4;2;2;4;3;4;4;4;10;4;3;Y;N;Male;1961;Late Baby boomer ;Biobío
192;4;4;4;4;2;3;2;2;2;2;2;4;2;4;4;4;4;3;3;3;2;2;4;3;3;3;3;3;4;3;4;3;3;2;2;2;4;4;2;4;2;4;4;4;17;4;3;Y;N;Female;1959;Late Baby boomer ;Biobío
193;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;4;2;4;4;3;3;3;3;5;3;3;2;7;4;3;N;Y;Female;1950;Early Baby boomer ;Biobío
194;4;4;5;5;4;5;5;3;3;4;3;5;3;3;5;5;5;5;5;5;5;5;5;5;4;3;4;2;4;4;5;4;3;2;2;3;3;1;3;3;3;3;5;5;10;4;3;Y;Y;Male;1958;Late Baby boomer ;Biobío
195;5;5;5;5;4;4;4;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;2;2;3;3;3;3;4;3;5;3;3;2;7;4;3;Y;N;Female;1950;Early Baby boomer ;Biobío
196;3;3;4;4;2;2;2;4;4;4;1;4;2;4;3;3;3;2;2;2;2;2;4;2;4;4;4;4;4;4;3;2;1;1;1;3;4;4;4;3;5;5;5;5;6;3;3;Y;Y;Female;1944;Silent generation ;Biobío
197;4;4;4;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;2;2;2;2;5;5;3;3;3;1;4;4;4;4;1;1;2;3;4;4;4;4;4;4;4;4;4;4;2;N;Y;Male;1947;Early Baby boomer ;Biobío
198;4;4;4;4;5;4;2;4;3;4;3;4;4;4;4;4;4;4;4;4;2;4;4;3;4;3;3;3;3;2;3;2;2;2;4;4;4;4;3;4;4;4;4;4;10;3;4;Y;N;Male;1960;Late Baby boomer ;Coquimbo
199;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;1;5;5;5;5;1;1;1;3;3;4;4;4;4;3;3;4;6;3;2;N;Y;Male;1952;Early Baby boomer ;Biobío
200;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;3;5;5;5;5;2;2;2;2;2;3;3;3;5;3;5;2;7;3;3;N;N;Female;1958;Late Baby boomer ;Biobío
201;5;5;5;5;4;3;3;5;5;5;5;4;4;5;4;4;4;4;4;3;3;4;5;5;5;5;5;4;5;5;5;5;4;4;4;4;4;4;4;4;3;3;2;2;10;3;3;Y;N;Male;1955;Early Baby boomer ;Coquimbo
202;1;1;4;4;1;1;1;4;4;4;4;4;2;4;3;4;4;1;1;4;2;1;5;4;1;4;1;1;2;4;2;2;1;1;2;2;2;2;4;4;5;5;5;4;1;2;3;Y;Y;Female;1947;Early Baby boomer ;Coquimbo
203;2;2;4;4;4;4;4;4;2;2;3;2;4;5;4;4;4;4;3;4;2;4;4;4;4;4;4;4;4;4;4;4;2;2;2;3;3;4;4;4;4;4;4;4;5;4;3;N;N;Female;1960;Late Baby boomer ;Coquimbo
204;4;5;5;5;4;4;4;4;5;4;4;4;4;4;5;4;4;5;5;5;2;1;5;4;5;5;4;3;5;4;2;4;3;2;3;2;2;4;2;3;3;4;4;2;10;3;3;Y;Y;Male;1954;Early Baby boomer ;Coquimbo
205;4;4;4;4;3;3;4;4;4;4;4;4;3;4;3;4;3;3;3;4;2;3;4;4;4;4;3;3;2;2;3;3;3;2;2;3;4;4;3;3;4;5;5;5;10;3;2;Y;N;Male;1955;Early Baby boomer ;Biobío
206;5;5;5;4;3;2;2;5;5;4;4;4;4;4;5;5;5;4;4;4;4;3;5;5;5;4;2;3;4;4;4;4;4;4;4;4;2;1;4;4;5;5;4;4;11;4;4;N;Y;Female;1939;Silent generation ;Biobío
207;5;4;4;4;5;5;5;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;5;5;5;5;3;3;4;4;4;4;4;4;4;4;2;2;2;3;2;4;3;2;10;4;4;Y;N;Male;1959;Late Baby boomer ;Biobío
208;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;4;3;4;2;2;2;1;15;4;4;Y;N;Male;1961;Late Baby boomer ;Coquimbo
209;2;4;4;4;2;2;4;4;3;4;4;4;3;4;4;4;4;2;4;4;4;4;4;4;5;5;1;1;4;4;4;5;4;1;4;1;4;3;3;3;4;4;5;5;3;2;3;N;Y;Female;1947;Early Baby boomer ;Coquimbo
210;5;5;5;5;4;2;2;5;5;5;5;3;4;5;4;4;4;4;4;3;3;4;5;4;5;5;5;5;4;4;4;4;2;2;3;2;3;4;4;4;4;3;3;2;10;3;3;N;Y;Male;1947;Early Baby boomer ;Coquimbo
211;4;4;4;4;2;2;2;4;4;4;3;4;2;4;4;4;4;2;2;4;2;2;4;4;2;4;2;2;4;4;4;3;2;3;2;3;4;4;4;4;4;4;3;4;10;4;3;N;Y;Female;1936;Silent generation ;Biobío
212;3;4;4;4;2;2;2;3;3;3;3;4;3;4;4;4;3;3;2;3;2;2;4;4;2;5;1;1;4;4;3;3;3;2;2;3;2;4;4;4;4;4;4;5;8;3;3;N;Y;Female;1939;Silent generation ;Biobío
213;4;4;4;4;4;5;4;4;4;4;3;4;4;4;5;4;4;4;4;4;4;4;4;4;5;5;4;3;4;4;4;4;4;3;4;4;2;4;3;4;4;4;2;3;11;3;3;Y;N;Male;1954;Early Baby boomer ;Biobío
214;4;4;5;4;3;3;3;4;4;4;3;4;3;3;5;5;4;4;3;3;3;3;4;4;3;3;3;2;4;4;3;3;4;2;2;3;5;4;3;5;4;5;5;5;8;2;1;N;Y;Female;1946;Silent generation ;Biobío
215;5;5;4;4;4;3;3;5;5;5;5;3;4;5;4;4;4;4;3;3;3;4;5;4;5;4;4;4;4;4;4;3;3;2;3;3;4;4;4;4;2;3;2;2;10;4;3;Y;Y;Male;1949;Early Baby boomer ;Coquimbo
216;4;4;4;4;2;3;3;4;4;4;1;4;3;4;4;4;4;4;2;2;2;4;4;2;5;4;4;4;4;4;3;2;1;1;2;4;4;4;4;4;5;5;5;5;9;3;3;Y;Y;Female;1945;Silent generation ;Biobío
217;3;4;5;5;3;3;3;5;4;5;4;4;4;4;5;5;5;5;3;4;2;4;5;5;2;2;4;3;5;5;5;5;3;2;3;2;4;2;2;3;2;4;4;5;5;4;3;N;Y;Female;1942;Silent generation ;Coquimbo
218;4;5;5;4;2;1;1;4;4;4;2;4;4;4;4;4;4;3;3;4;2;2;4;4;2;4;2;2;4;4;4;4;3;3;2;4;2;4;4;4;3;4;2;2;9;4;3;N;Y;Male;1940;Silent generation ;Biobío
219;2;4;4;2;2;3;4;4;4;1;4;2;4;4;3;4;4;2;2;2;2;2;3;4;3;3;3;3;4;4;4;3;2;2;3;4;4;4;3;4;5;5;5;3;1;3;3;N;Y;Male;1946;Silent generation ;Biobío
220;3;4;4;3;2;2;2;5;4;4;3;3;4;4;3;3;3;4;4;3;4;4;4;4;4;4;4;3;4;3;3;3;4;3;2;3;4;4;4;3;4;3;3;2;10;4;4;N;Y;Male;1938;Silent generation ;Biobío
221;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;3;4;4;3;3;3;3;5;5;3;2;8;4;3;Y;N;Female;1958;Late Baby boomer ;Biobío
222;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;2;4;4;2;2;3;3;5;3;3;2;8;4;3;Y;N;Male;1960;Late Baby boomer ;Biobío
